Year	Date	Headliner	Venue	Act to Find	Search URL	Setlist URL
2025	2025-08-28	Robert Randolph	The Atlantis	Blessing Offor	https://www.setlist.fm/search?query=artist%3A%28blessing+offor%29+date%3A%5B2025-08-28%5D	
2025	2025-09-16	Hozier	Jiffy Lube Live	Gigi Perez	https://www.setlist.fm/search?query=artist%3A%28gigi+perez%29+date%3A%5B2025-09-16%5D	
2025	2025-09-19	Alabama Shakes	The Anthem	The Budos Band	https://www.setlist.fm/search?query=artist%3A%28the+budos+band%29+date%3A%5B2025-09-19%5D	
2025	2025-09-24	Christone 'Kingfish' Ingram	Baltimore Soundstage	Dylan Triplett	https://www.setlist.fm/search?query=artist%3A%28dylan+triplett%29+date%3A%5B2025-09-24%5D	
2025	2025-10-15	Jackie Venson	The Hamilton Live	J & The Causeways	https://www.setlist.fm/search?query=artist%3A%28j+%26+the+causeways%29+date%3A%5B2025-10-15%5D	
2025	2025-10-26	Ruthie Foster	The Hamilton Live	Cole Larravide	https://www.setlist.fm/search?query=artist%3A%28cole+larravide%29+date%3A%5B2025-10-26%5D	
2025	2025-10-31	Jon Batiste	The Anthem	Diana Silvers	https://www.setlist.fm/search?query=artist%3A%28diana+silvers%29+date%3A%5B2025-10-31%5D	
2025	2025-11-14	The Lone Bellow	Union Stage	Nicole Atkins	https://www.setlist.fm/search?query=artist%3A%28nicole+atkins%29+date%3A%5B2025-11-14%5D	
2025	2025-11-17	Sparkbird	Richmond Music Hall	Sushi Soucy	https://www.setlist.fm/search?query=artist%3A%28sushi+soucy%29+date%3A%5B2025-11-17%5D	
2025	2025-11-17	Sparkbird	Richmond Music Hall	Spartan Jet-Plex	https://www.setlist.fm/search?query=artist%3A%28spartan+jet-plex%29+date%3A%5B2025-11-17%5D	
2025	2025-11-21	Keb' Mo'	Maryland Hall for the Creative Arts	Anthony D'Amato	https://www.setlist.fm/search?query=artist%3A%28anthony+d%27amato%29+date%3A%5B2025-11-21%5D	
2025	2025-12-04	The Wood Brothers	9:30 Club	The Wildmans	https://www.setlist.fm/search?query=artist%3A%28the+wildmans%29+date%3A%5B2025-12-04%5D	
2025	2025-12-20	Maggie Rose	Bethesda Theater	The Hip Snacks	https://www.setlist.fm/search?query=artist%3A%28the+hip+snacks%29+date%3A%5B2025-12-20%5D	
