Year	Date	Headliner	Venue	Act to Find	Search URL	Setlist URL
2024	2024-02-17	Stevie Nicks	CFG Bank Arena	Jessie Baylin	https://www.setlist.fm/search?query=artist%3A%28jessie+baylin%29+date%3A%5B2024-02-17%5D	
2024	2024-02-20	Eric Gales	The Hamilton Live	Artur Menezes	https://www.setlist.fm/search?query=artist%3A%28artur+menezes%29+date%3A%5B2024-02-20%5D	
2024	2024-02-21	Brittany Howard	9:30 Club	Becca Mancari	https://www.setlist.fm/search?query=artist%3A%28becca+mancari%29+date%3A%5B2024-02-21%5D	
2024	2024-03-02	Trombone Shorty & Orleans Avenue	The Event Center at Hollywood Casino	The Soul Rebels	https://www.setlist.fm/search?query=artist%3A%28the+soul+rebels%29+date%3A%5B2024-03-02%5D	
2024	2024-03-18	Rhiannon Giddens	The Music Center at Strathmore	Charly Lowry	https://www.setlist.fm/search?query=artist%3A%28charly+lowry%29+date%3A%5B2024-03-18%5D	
2024	2024-04-10	Shovels & Rope	Rams Head On Stage	Al Olender	https://www.setlist.fm/search?query=artist%3A%28al+olender%29+date%3A%5B2024-04-10%5D	
2024	2024-04-12	Danielle Nicole	The Hamilton Live	Mallow Hill	https://www.setlist.fm/search?query=artist%3A%28mallow+hill%29+date%3A%5B2024-04-12%5D	
2024	2024-04-13	JJ Grey & Mofro	The Fillmore Silver Spring	Judith Hill	https://www.setlist.fm/search?query=artist%3A%28judith+hill%29+date%3A%5B2024-04-13%5D	
2024	2024-05-15	Oh He Dead	9:30 Club	The North Country	https://www.setlist.fm/search?query=artist%3A%28the+north+country%29+date%3A%5B2024-05-15%5D	
2024	2024-05-16	Sonny Landreth	The Hamilton Live	The Iguanas	https://www.setlist.fm/search?query=artist%3A%28the+iguanas%29+date%3A%5B2024-05-16%5D	
2024	2024-06-01	Bonnie Raitt	Warner Theatre	The James Hunter Six	https://www.setlist.fm/search?query=artist%3A%28the+james+hunter+six%29+date%3A%5B2024-06-01%5D	
2024	2024-06-09	Gary Clark Jr.	Wolf Trap Farm Park (Filene Center)	Free Nationals	https://www.setlist.fm/search?query=artist%3A%28free+nationals%29+date%3A%5B2024-06-09%5D	
2024	2024-06-10	John Hiatt	The Birchmere	Rebecca Porter	https://www.setlist.fm/search?query=artist%3A%28rebecca+porter%29+date%3A%5B2024-06-10%5D	
2024	2024-06-14	Pixies	Merriweather Post Pavilion	Cat Power	https://www.setlist.fm/search?query=artist%3A%28cat+power%29+date%3A%5B2024-06-14%5D	
2024	2024-06-14	Pixies	Merriweather Post Pavilion	Modest Mouse	https://www.setlist.fm/search?query=artist%3A%28modest+mouse%29+date%3A%5B2024-06-14%5D	
2024	2024-06-15	Trombone Shorty & Orleans Avenue	Wolf Trap Farm Park (Filene Center)	Danielle Ponder	https://www.setlist.fm/search?query=artist%3A%28danielle+ponder%29+date%3A%5B2024-06-15%5D	
2024	2024-06-15	Trombone Shorty & Orleans Avenue	Wolf Trap Farm Park (Filene Center)	Big Boi	https://www.setlist.fm/search?query=artist%3A%28big+boi%29+date%3A%5B2024-06-15%5D	
