Artist	In APS	APS Page	APS Signed	APS Autograph Notes	In RHBS	RHBS Signed
Lera Lynn	Yes	34	No		No	
Lillie Mae	Yes	188	No		No	
Lily Hiatt	Yes	111	No		No	
Linda Perry	Yes	25	No		No	
Lindi Ortega	Yes	161	No		No	
Lindsay Lou	Yes	220	No		No	
Little Feat	No				Yes	
Los Lobos	Yes	98	No		No	
Lucinda Williams	Yes	54	No		No	
Lucinda Williams and Buick 6	Yes	54	No		No	
Maggie Rose	Yes	150	No		No	
Marc Broussard	Yes	209	No		No	
Marc Cohn	Yes	190	No		No	
Marc Ribot	Yes	155	No		No	
Marcus King	Yes	61	No		No	
Margo Price	Yes	44	No		No	
Martin Sexton	Yes	212	No		No	
Marvin Etzioni	Yes	114	No		No	
Mary Stuart	Yes	55	No		No	
Mary Stuart and the Fabulous Superlatives	Yes	55	No		No	
Matthew Perryman Jones	Yes	211	No		No	
Max Gomez	Yes	101	No		No	
Maya deVitry	Yes	220	No		No	
Michael Leasure	No				Yes	
Michael Rhodes	No				Yes	
Mike Campbell	No				Yes	
Mike Campbell & The Dirty Knobs	No				Yes	
Mike Farris	Yes	129	No		No	
Mike Zito	No				Yes	
Mindy Smith	Yes	99	No		No	
Molly Parden	Yes	81	No		No	
Molly Tuttle	Yes	118	No		No	
Morganfield Burnett	No				Yes	
Nalle Colt	No				Yes	
Nicholas Tremulis	Yes	92	No		No	
Nick Lowe	Yes	60	No		No	
Nicki Bluhm	Yes	100	No		No	
Nikki Hill	No				Yes	
Nikki Lane	Yes	52	No		No	
Nitty Gritty Dirt Band	Yes	146	No		No	
North Mississippi Allstars	Yes	203	Yes	Luther Dickinson autographed	No	
Parker Millsap	Yes	133	No		No	
Paul Thorn	Yes	207	No		No	
Paulie Cerra	No				Yes	
Peter Frampton	No				Yes	
Philip Sayce	No				Yes	
Phoebe Hunt	Yes	220	No		No	
Pokey Lafarge	Yes	48	No		No	
Popa Chubby	No				Yes	
Radney Foster	Yes	180	No		No	
Raul Malo	Yes	216	No		No	
Reese Wynans	No				Yes	
Regi Oliver	No				Yes	Yes
Reverend Peyton	Yes	145	No		No	
Rhett Miller	Yes	130	No		No	
Rhiannon Giddens	Yes	39	No		No	
Rich Robinson	Yes	97	No		No	
Richie Furay	Yes	202	No		No	
Rick Barrio Dill	No				Yes	
Ricky Skaggs	Yes	136	No		No	
Rising Appalachia	Yes	123	No		No	
Rob Arthur	No				Yes	
Rob Ickes	Yes	168	No		No	
Robert Jon & The Wreck	No				Yes	
Robert Jon Burrison	No				Yes	
Robert Randolph	No				Yes	
Robert Randolph Band	No				Yes	
Robyn Hitchcock	Yes	70	No		No	
Rodney Crowell	Yes	214	No		No	
Rodriguez	Yes	19	No		No	
Ron Johnson	No				Yes	
Rufus Wainwright	Yes	90	No		No	
Rusty Wright Band	No				Yes	
Rusty Young	Yes	132	No		No	
Ruthie Foster	Yes	137	Yes	autographed	No	
Sam Bush	Yes	110	No		No	
Sam Morrow	Yes	105	No		No	
Samantha Fish	No				Yes	
Sara Watkins	Yes	142	No		No	
Sarah Darling	Yes	187	No		No	
Scott Sharrard	No				Yes	
Sean McConnell	Yes	77	No		No	
Selwyn Birchwood	No				Yes	Yes
Seth Walker	Yes	173	No		No	
Shannon McNally	Yes	27	No		No	
Shawn Colvin	Yes	103	No		No	
Shawn Mullins	Yes	93	No		No	
Shemekia Copeland	Yes	191	No		Yes	No
Sheryl Crow	Yes	12	No		No	
Shooter Jennings	Yes	157	No		No	
Sierra Ferrell	Yes	29	No		No	
Sierra Hull	Yes	30	No		No	
Slash	No				Yes	
Slash's Blues Ball	No				Yes	
SmokeFace	No				Yes	
Solomon Hicks	No				Yes	
Southern Avenue	Yes	165	No		No	
Stephen Stills	Yes	215	No		No	
Steve Cropper	Yes	223	No		No	
Steve Earle	Yes	136	No		No	
Steve Forbert	Yes	171	No		No	
Steve Lukather	No				Yes	
Steve Mackey	No				Yes	
Steve Poltz	Yes	134	No		No	
Steven Van Zandt	Yes	225	No		No	
Sue Foley	No				Yes	Yes
Sugaray Rayford	No				Yes	
Susan Tedeschi	No				Yes	
Suzanne Santo	Yes	122	No		No	
Suzanne Vega	Yes	224	No		No	
T Bone Burnett	Yes	107	No		No	
Tab Benoit	No				Yes	
Taj Farrant	No				Yes	Yes
Tash Neal	No				Yes	
Teddy 'ZigZag' Andreadis	No				Yes	
Tedeschi Trucks Band	No				Yes	
The Avett Brothers	Yes	95	No		No	
The Bacon Brothers	Yes	127	No		No	
The Black Crowes	Yes	97	No		No	
The Fabulous Superlatives	Yes	55	No		No	
The Flatlanders	Yes	174	No		No	
The Lone Bellow	Yes	182	Yes	All three signed — Zach Williams, Kanene Pipkin, Brian Elmquist @ Union Stage 11/14/25	No	
The McCrary Sisters	Yes	128	No		No	
The Noisemakers	Yes	147	No		No	
The O'Connor Band	Yes	179	No		No	
The Reverend Shawn Amos	No				Yes	
The Steel Wheels	Yes	213	No		No	
The Subdudes	Yes	204	No		No	
The Trishas	Yes	181	No		No	
The War and Treaty	Yes	28	Yes	Both autographed	No	
The Wood Brothers	Yes	106	Yes	Oliver autographed	No	
The Wooten Brothers	Yes	221	No		No	
Theresa Williams	Yes	59	No		No	
Three Women and the Truth	Yes	76	No		No	
Tim Easton	Yes	24	No		No	
Toby Lee	No				Yes	
Tom Paxton	Yes	56	No		No	
Tommy Emmanuel	Yes	20	No		Yes	No
Tony Joe White	Yes	201	No		No	
Toronzo Cannon	No				Yes	
TOTO	No				Yes	
Trey Hensley	Yes	168	No		No	
Ty Taylor	No				Yes	
Tyler Bryant	No				Yes	
Tyler Bryant & The Shakedown	No				Yes	
Vanessa Collier	No				Yes	Yes
Vince Gill	Yes	35	No		No	
Vintage Trouble	No				Yes	
Walter Trout	No				Yes	
Wanda Jackson	Yes	31	No		No	
Warren Murrel	No				Yes	
Webb Wilder	Yes	154	No		No	
Whitehorse	Yes	17	No		No	
Whitney Rose	Yes	96	No		No	
Wilco	Yes	11	No		No	
Will Hoge	Yes	189	No		No	
Will Kimbrough	Yes	194	No		No	
