Artist	Eligible	Basis	In APS	APS Page	In RHBS
Kris Kristofferson	Yes		Yes	62	No
Lachy Doley	Yes		No		Yes
Langhorne Slim	Yes		Yes	206	No
Larkin Poe	Yes		Yes	172	Yes
Larry Campbell	Yes		Yes	59	No
Laura Chavez	Yes		No		Yes
Leah Blevins	Yes		Yes	109	No
Lee Roy Parnell	Yes		Yes	200	No
Leigh Nash	Yes		Yes	80	No
Lemar Carter	Yes		No		Yes
Leo 'Bud' Welch	Yes		Yes	57	No
Lera Lynn	Yes		Yes	34	No
Lillie Mae	Yes		Yes	188	No
Lily Hiatt	Yes		Yes	111	No
Linda Perry	Yes		Yes	25	No
Lindi Ortega	Yes		Yes	161	No
Lindsay Lou	Yes		Yes	220	No
Little Feat	Yes		No		Yes
Los Lobos	Yes		Yes	98	No
Lucinda Williams	Yes		Yes	54	No
Lucinda Williams and Buick 6	Yes		Yes	54	No
Maggie Rose	Yes		Yes	150	No
Marc Broussard	Yes		Yes	209	No
Marc Cohn	Yes		Yes	190	No
Marc Ribot	Yes		Yes	155	No
Marcus King	Yes		Yes	61	No
Margo Price	Yes		Yes	44	No
Martin Sexton	Yes		Yes	212	No
Marvin Etzioni	Yes		Yes	114	No
Mary Stuart	Yes		Yes	55	No
Mary Stuart and the Fabulous Superlatives	Yes		Yes	55	No
Matthew Perryman Jones	Yes		Yes	211	No
Max Gomez	Yes		Yes	101	No
Maya deVitry	Yes		Yes	220	No
Michael Leasure	Yes		No		Yes
Michael Rhodes	Yes		No		Yes
Mike Campbell	Yes		No		Yes
Mike Campbell & The Dirty Knobs	Yes		No		Yes
Mike Farris	Yes		Yes	129	No
Mike Zito	Yes		No		Yes
Mindy Smith	Yes		Yes	99	No
Molly Parden	Yes		Yes	81	No
Molly Tuttle	Yes		Yes	118	No
Morganfield Burnett	Yes		No		Yes
Nalle Colt	Yes		No		Yes
Nicholas Tremulis	Yes		Yes	92	No
Nick Lowe	Yes		Yes	60	No
Nicki Bluhm	Yes		Yes	100	No
Nikki Hill	Yes		No		Yes
Nikki Lane	Yes		Yes	52	No
Nitty Gritty Dirt Band	Yes		Yes	146	No
North Mississippi Allstars	Yes		Yes	203	No
Parker Millsap	Yes		Yes	133	No
Paul Thorn	Yes		Yes	207	No
Paulie Cerra	Yes		No		Yes
Peter Frampton	Yes		No		Yes
Philip Sayce	Yes		No		Yes
Phoebe Hunt	Yes		Yes	220	No
Pokey Lafarge	Yes		Yes	48	No
Popa Chubby	Yes		No		Yes
Radney Foster	Yes		Yes	180	No
Raul Malo	Yes		Yes	216	No
Reese Wynans	Yes		No		Yes
Regi Oliver	Yes		No		Yes
Reverend Peyton	Yes		Yes	145	No
Rhett Miller	Yes		Yes	130	No
Rhiannon Giddens	Yes		Yes	39	No
Rich Robinson	Yes		Yes	97	No
Richie Furay	Yes		Yes	202	No
Rick Barrio Dill	Yes		No		Yes
Ricky Skaggs	Yes		Yes	136	No
Rising Appalachia	Yes		Yes	123	No
Rob Arthur	Yes		No		Yes
Rob Ickes	Yes		Yes	168	No
Robert Jon & The Wreck	Yes		No		Yes
Robert Jon Burrison	Yes		No		Yes
Robert Randolph	Yes		No		Yes
Robert Randolph Band	Yes		No		Yes
Robyn Hitchcock	Yes		Yes	70	No
Rodney Crowell	Yes		Yes	214	No
Rodriguez	Yes		Yes	19	No
Ron Johnson	Yes		No		Yes
Rufus Wainwright	Yes		Yes	90	No
Rusty Wright Band	Yes		No		Yes
Rusty Young	Yes		Yes	132	No
Ruthie Foster	Yes		Yes	137	No
Sam Bush	Yes		Yes	110	No
Sam Morrow	Yes		Yes	105	No
Samantha Fish	Yes		No		Yes
Sara Watkins	Yes		Yes	142	No
Sarah Darling	Yes		Yes	187	No
Scott Sharrard	Yes		No		Yes
Sean McConnell	Yes		Yes	77	No
Selwyn Birchwood	Yes		No		Yes
