Artist	Album URL
Gabe Stillman	https://photos.redhat-bootlegs.net/share/kZ7e6k5Vw1yN8o5CI0T-3OF4udYwq3SG_fMbe9_ALCUcueAndrBhdiVnuTkeNejZQZI
Ghalia Volt	https://photos.redhat-bootlegs.net/share/rHzRM_t3B-3dNLU-U0-BWFOwnTitpIZMZg_Klq18O5PhWYAcjVneV4Tzxab55bRjJFc
Glen Hansard	https://photos.redhat-bootlegs.net/share/Gm-9VYxOOXhqYZ7DKmwHJ1tBU883f93eL4xv5Fg8MxdLXG20tJoqYSiwR74BMirHvJA
J. P. Soars	https://photos.redhat-bootlegs.net/share/mTIbM8uoaGiq6Z8f9TkB_l0vLcM1LMjwCB3dkRj5FLmkEyRQoU1NwdPKGV6g_3wD1R8
Jax Hollow	https://photos.redhat-bootlegs.net/share/MKh6Ds05qDjW7XwbgP0av2QjcOH2jOCAotqTKFwLmE6sgXaGhj9hHfDa8k-QqSZ_xAs
Joanne Shaw Taylor	https://photos.redhat-bootlegs.net/share/6zTauK-J_Wb6iz0x1EMcaAmOGbhKUM8p0ewc_U7D4z0Utys06Fi7tpbsAXPXLbHd7n0
Joe Cabral	https://photos.redhat-bootlegs.net/share/pFzDo7agzH6Gpo1lA25GGX6MsEbVRU7_vmu6kiBbcDNPDDFoUL4CvBeSUwQtDLC6G4E
Jon Batiste	https://photos.redhat-bootlegs.net/share/rPxs5fkcnldlNdiuz4WQElBaV0Kybd2agqgbaYkY0W0_mOjOjG3afg5YL-HR7jGPUU0
Kanene Donehey Pipkin	https://photos.redhat-bootlegs.net/share/a0uEFQciH_2_Q_0Zcx-aPqovjsgAwXbu34LdOljOEO-ZNlhnABa98ebzxxmWi_hLTnQ
Keith Roberts	https://photos.redhat-bootlegs.net/share/-IqZRWrIar94wOjbvO99iZi9wWjlhoIADOiFCyijG8hss53SEcFqdwP7Wj4sWqmUJa4
King Solomon Hicks	https://photos.redhat-bootlegs.net/share/mEhysTQuY6paFzc-2aqRo-QNK-zY_ITj_e54ipzhDZDP8y4CS7j_X3Dss6UPHZFJPFI
Langhorne Slim	https://photos.redhat-bootlegs.net/share/ZzzNFhZBRtEkufOTyIOwNYtHuRPAsL9FXDll-uTxAYZ-CHeVr5TWgyghd1-aLBTvYGg
Laura Chavez	https://photos.redhat-bootlegs.net/share/a2j_oVEo18YkGHXLXPVKO9Sowf1pBLlqt99zYRufuUG2UVJGVrnlYS82Z2iJlzjD1OI
Laura Rogers	https://photos.redhat-bootlegs.net/share/4k8d5v1sfFai9Ot_N3NQggO__tXdbejf4imOEtEdY8er2DVb3_YaLAfFnPeAQx-noKs
Lindsay Lou	https://photos.redhat-bootlegs.net/share/qvWIV_Svwby9h1lh3gt_J0FuNDaKiIx2GKwLKqNJGVf8GtEopgV8e7HWw3aVHqpJjvI
Lucky Chops	https://photos.redhat-bootlegs.net/share/XJxx4OfOSj1m2YLt3zm6ygOE8jqOBRrb57_shmNp_a37NDMlluUxSBuLxA_1DcAoQRo
