source_row	google_link	google_desc	immich_candidates	immich_desc	match_id	immich_link	confidence	signals	notes
artist-photos.tsv:Joe Cabral, bajo sexto and saxophone pla	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNnUXarw91vxgW0fTyd9PtZYKt7ZTN3U8Gfiyrg?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Joe Cabral, bajo sexto and saxophone player for The Iguanas - Hamilton Live, 5/16/24	b1c3b4c4-9325-423a-9d89-43f44fdc7c72		b1c3b4c4-9325-423a-9d89-43f44fdc7c72	https://photos.redhat-bootlegs.net/share/1u1uORExrWbvKpqyw7SwtVI2pxU3HF9bhg7Qf-4TA8iispoq1KaYf-_nyIxbpVDpvKU	3	caption:2024-05-16	
artist-photos.tsv:Sonny Landreth - Hamilton Live 5/16/24	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOpyv-ct9MwYJ3VLC-J38qc0zSQa2NlhCTqk0KG?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Sonny Landreth - Hamilton Live 5/16/24	462c91b0-378e-4324-81c4-a1b458401144		462c91b0-378e-4324-81c4-a1b458401144	https://photos.redhat-bootlegs.net/share/CHC5_BZdnApmOz59nOwD5tPjSSVinWckNBFEd1WFFS1zlxTc7Nx2CeWS4lnze8tYDaA	3	caption:2024-05-16	
artist-photos.tsv:Jackie Venson @ Color Burst Park 6/6/24 ; history/2024.tsv:2024-06-06 Jackie Venson	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNsE8POTuye3YPms-sL1-QuGW1zUHtHT_5piYWc?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Jackie Venson @ Color Burst Park 6/6/24 / Jackie Venson at Color Burst Park, Columbia, MD, USA	7940d4c9-d340-46cc-998e-0f17560e1845		7940d4c9-d340-46cc-998e-0f17560e1845	https://photos.redhat-bootlegs.net/share/ATgdsUpiEVRs02jGmLUf22mITMDUmbc7E_vUwC3CdujAZT6U9zv6NJFEM0TyvhuFnmQ	3	caption:2024-06-06	
artist-photos.tsv:Shaw Davis @ Rams Head Live  6/16/24 ; history/2024.tsv:2024-06-16 Shaw Davis & The Black Ties	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPMHXR0v5ZYN__RQaKMxpu5kLxiH5D2eKDLqjc0?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Shaw Davis @ Rams Head Live  6/16/24 / Shaw Davis & The Black Ties at Rams Head On Stage, Annapolis, MD, USA	3af4a55d-0672-4890-b997-9ff3ddb71200		3af4a55d-0672-4890-b997-9ff3ddb71200	https://photos.redhat-bootlegs.net/share/sQW2E3O7GoFsHX2-9FNMFkfp-eOVEKY9rgtQKPdvuF2ECzr4GuHFzUGWX5JI90wDSxQ	3	caption:2024-06-16	
artist-photos.tsv:Buffalo Nichols @ Jammin' Java (VA) 6/21 ; history/2024.tsv:2024-06-21 Buffalo Nichols	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNAF3HKme3cOyAK__ZfeyhK0g7-UDriAgCWG3qx?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Buffalo Nichols @ Jammin' Java (VA) 6/21/24 / Buffalo Nichols at Jammin' Java, Vienna, VA, USA	16c7d610-ebdb-4920-94ba-1b01c8fa0e95		16c7d610-ebdb-4920-94ba-1b01c8fa0e95	https://photos.redhat-bootlegs.net/share/1fJWxfMMmOTnqW4bK3nAjA-_v1dYL2vql860F38RqYgypaObKtPr9u4G5ZCjFpapwB0	3	caption:2024-06-21	
artist-photos.tsv:Mikaela Davis (harpist) Pearl Street War ; history/2024.tsv:2024-06-25 Mikaela Davis	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipML6kOgBnmP4A-grEM2Oj5ODJUb2dZ7Poz5uhwe?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Mikaela Davis (harpist) Pearl Street Warehouse 6/25/24 / Mikaela Davis at Pearl Street Warehouse, Washington, DC, USA	8fe3ffb6-bf97-45eb-b270-942d7d928b54		8fe3ffb6-bf97-45eb-b270-942d7d928b54	https://photos.redhat-bootlegs.net/share/OhLHszHCYhiqsItTuEOPloDWCfyfhl7ehuORL9bz6VLlztWwPny3ld7TrUDPeQ1QjIQ	3	caption:2024-06-25	
artist-photos.tsv:Mike Zito @ Birchmere 7/18 | (I was talk ; history/2024.tsv:2024-07-18 Tab Benoit & Anders Osborne 	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOz1C0Q7rlxRWUMe0zY1Mbca7LtuIMR-iG-B5fg?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Mike Zito @ Birchmere 7/18 | (I was talking instead of smiling, but also my face had just been melted off) / Tab Benoit & Anders Osborne  at The Birchmere, Alexandria, VA, USA	b2999553-1fbb-40e9-8ac3-e2917191da74		b2999553-1fbb-40e9-8ac3-e2917191da74	https://photos.redhat-bootlegs.net/share/vs27vG71Uy279SFv7pBRK78AlQ4Qu2p0zRqxOdlkAeG56DL0hpJEBu4T945rgx-q0EU	3		
artist-photos.tsv:Sue Foley @ Hamilton Live 8/23/24 ; history/2024.tsv:2024-08-23 Sue Foley	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOmDw1Noik-3ss6gsQTdf21Z2qFSnFATCi-wMaf?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Sue Foley @ Hamilton Live 8/23/24 / Sue Foley at The Hamilton Live, Washington, DC, USA	78b50a5f-625e-47c4-aa15-3c677734f32d		78b50a5f-625e-47c4-aa15-3c677734f32d	https://photos.redhat-bootlegs.net/share/RPJqy4m3i_HsUGeMqWGjxmgu6ndhZqDMWIbQalOK6d0-CpM9i9j_7ALZDLacLWMeIbo	3	caption:2024-08-23	
artist-photos.tsv:Vanessa Collier Rams Head Live On Stage, ; history/2024.tsv:2024-09-08 Vanessa Collier	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipO19AHZ_ciaainoN6sOnodzcVpfm_PYfxOeLMye?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Vanessa Collier Rams Head Live On Stage, 9/8/24 / Vanessa Collier at Rams Head On Stage, Annapolis, MD, USA	77fdeaa8-3999-4dbf-8cbc-0ca27745ea3e		77fdeaa8-3999-4dbf-8cbc-0ca27745ea3e	https://photos.redhat-bootlegs.net/share/zQpQrrTAo0AcJEFDyIVnW6MXbjrj3y40g7U7Bdkd8EAxnFNwsbsb6gZBnyCY-HVAfZY	3	caption:2024-09-08	
artist-photos.tsv:Selwyn Birchwood @ The Vault at Capital  ; history/2024.tsv:2024-09-18 Selwyn Birchwood	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPJrWJ1fzxlVGK-rP5_RulOIivpQc7UKpCP9eJd?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Selwyn Birchwood @ The Vault at Capital One Hall 9/18 first time there for both of us! / Selwyn Birchwood at The Vault at Capital One Hall, Tysons Corner, VA, USA	24de19f0-9e2b-4904-98fe-37c42d25d6f2		24de19f0-9e2b-4904-98fe-37c42d25d6f2	https://photos.redhat-bootlegs.net/share/RNoJ8vNfLxlel7Iu4F8gc54U1ZszDZXRI7IxVbnvxosGzjPZZ_JFTuteJcjXbPLQFN8	3		
