Date	Share Link	Caption / Artist Info
Feb 21, 2024, 7:29:30 PM	https://photos.redhat-bootlegs.net/share/vMxMBU-eDnzFQdVEyD-PZb25Fq6UCvKyLLaEzznIlG5XiQMKfSM5bgIPczbNOD8LhOo	Eric Gales, round 2 @ Hamilton Live DC 2/20/24
Feb 23, 2024, 1:19:09 AM	https://photos.redhat-bootlegs.net/share/rZu5s6lCL5_JAeRJbE9W2Y9JhAdjszk2na9PyU0htm-ngKez4db8ZR5qyZUvTxgna_A	Artur Menezes @ Hamilton Live DC 2/20/24 supporting Eric Gales
Feb 26, 2024, 2:21:12 AM	https://photos.redhat-bootlegs.net/share/P12zbR6kgbD-s9ODfjgQUuMAW6z9O23mfI36eq3pQh1JAJ2aW8GHhbncXKfCN3kZVmU	Selwyn Birchwood. Collective Encore 2/25/24
Apr 13, 2024, 12:07:43 PM	https://photos.redhat-bootlegs.net/share/b95X24U2axINFuSQG9oDpIsTZ3wkpiEQdnEQN7rwvHizhHf_npb6Bc1Q4QOsM4IGN4Y	Danielle Nicole @ Hamilton Live 4/12/24
Apr 14, 2024, 12:41:24 AM	https://photos.redhat-bootlegs.net/share/ZSyY82hikqiUGo5_VgEVc57Xxe-LAFZW-m3UGkSWAHp_xRgbyWRWF7qjysiDfLAEhQ8	Judith Hill @ Fillmore Silver Spring 4/13/24
Apr 20, 2024, 2:21:33 PM	https://photos.redhat-bootlegs.net/share/Z2djHj6QwX2VK7WvWJC2hzF1LIeDrBwwSClk5FlFUDgfpuMOZY84PketOen8XV-0_qw	Vanessa Collier @ Collective Encore 4/19/24 - her long-time birthday venue when it was called the Soundry
May 18, 2024, 4:13:12 PM	https://photos.redhat-bootlegs.net/share/1u1uORExrWbvKpqyw7SwtVI2pxU3HF9bhg7Qf-4TA8iispoq1KaYf-_nyIxbpVDpvKU	Joe Cabral, bajo sexto and saxophone player for The Iguanas - Hamilton Live, 5/16/24
May 18, 2024, 4:15:38 PM	https://photos.redhat-bootlegs.net/share/CHC5_BZdnApmOz59nOwD5tPjSSVinWckNBFEd1WFFS1zlxTc7Nx2CeWS4lnze8tYDaA	Sonny Landreth - Hamilton Live 5/16/24
Jun 7, 2024, 1:00:48 AM	https://photos.redhat-bootlegs.net/share/ATgdsUpiEVRs02jGmLUf22mITMDUmbc7E_vUwC3CdujAZT6U9zv6NJFEM0TyvhuFnmQ	Jackie Venson @ Color Burst Park 6/6/24
Jun 17, 2024, 3:25:30 AM	https://photos.redhat-bootlegs.net/share/sQW2E3O7GoFsHX2-9FNMFkfp-eOVEKY9rgtQKPdvuF2ECzr4GuHFzUGWX5JI90wDSxQ	Shaw Davis @ Rams Head Live  6/16/24
Jun 22, 2024, 2:35:10 AM	https://photos.redhat-bootlegs.net/share/1fJWxfMMmOTnqW4bK3nAjA-_v1dYL2vql860F38RqYgypaObKtPr9u4G5ZCjFpapwB0	Buffalo Nichols @ Jammin' Java (VA) 6/21/24
Jun 26, 2024, 3:38:30 AM	https://photos.redhat-bootlegs.net/share/OhLHszHCYhiqsItTuEOPloDWCfyfhl7ehuORL9bz6VLlztWwPny3ld7TrUDPeQ1QjIQ	Mikaela Davis (harpist) Pearl Street Warehouse 6/25/24
Jul 19, 2024, 1:12:34 PM	https://photos.redhat-bootlegs.net/share/vs27vG71Uy279SFv7pBRK78AlQ4Qu2p0zRqxOdlkAeG56DL0hpJEBu4T945rgx-q0EU	Mike Zito @ Birchmere 7/18 | (I was talking instead of smiling, but also my face had just been melted off)
Aug 24, 2024, 2:14:44 AM	https://photos.redhat-bootlegs.net/share/RPJqy4m3i_HsUGeMqWGjxmgu6ndhZqDMWIbQalOK6d0-CpM9i9j_7ALZDLacLWMeIbo	Sue Foley @ Hamilton Live 8/23/24
Sep 9, 2024, 1:36:05 AM	https://photos.redhat-bootlegs.net/share/zQpQrrTAo0AcJEFDyIVnW6MXbjrj3y40g7U7Bdkd8EAxnFNwsbsb6gZBnyCY-HVAfZY	Vanessa Collier Rams Head Live On Stage, 9/8/24
Sep 19, 2024, 9:16:16 PM	https://photos.redhat-bootlegs.net/share/RNoJ8vNfLxlel7Iu4F8gc54U1ZszDZXRI7IxVbnvxosGzjPZZ_JFTuteJcjXbPLQFN8	Selwyn Birchwood @ The Vault at Capital One Hall 9/18 first time there for both of us!
Oct 6, 2024, 1:47:24 AM	https://photos.redhat-bootlegs.net/share/xgDSZ6DBv4jtjdyjOOr0dlh2Bsqi-k4wtWgs1MFN6HvY66HyxS1quKmjyVSt0Oq0HAg	Valerie June @ Publick Playhouse 10/5/24
Oct 10, 2024, 3:06:47 PM	https://photos.redhat-bootlegs.net/share/DEA9_26dn6siQtbpaG44soazowuK5DBwYOtlotxHM-FRLae-hUuGjXTngQkJebzDs70	Laura Chavez @ Hamilton Live 10/9/24 | (very averse to photos, very incredible on guitar)
Oct 14, 2024, 11:13:11 PM	https://photos.redhat-bootlegs.net/share/aMc_KlI130Jx61yIwmnmr3VAZEkiqEyDrraQ9puIUF5BkLQKi-1bFsRusi3tFfslJZU	Jake Xerxes Fussell @ Songbyrd Music House 10/13/24
Oct 15, 2024, 12:19:38 AM	https://photos.redhat-bootlegs.net/share/fOprZphi1cseE5_thi549hHerULZfpJQ1xw0Fr-WaWnL2x9tyr2mZKOfR67P1An9ZHk	Vanessa Collier @ Hamilton Live 10/9/24
Oct 17, 2024, 2:33:32 AM	https://photos.redhat-bootlegs.net/share/3P3U9VEm0hGULt-JvN8Pg9yJ-jeQCKOPzgXEV3kvr8QyrK7rYVijv3ilA2ZZ3NxF8Mo	Ana Popovic 10/16/24 @ Hamilton Live
Oct 20, 2024, 3:26:24 AM	https://photos.redhat-bootlegs.net/share/Q47zB_VMBSdqjLbbEcUpejKRDAbcnKW8hd_w6K6lSjNmuhKHY4148TE-RN9DLGt7m8Y	Shemekia Copeland (singer) @ Rams Head 10/19/24
Nov 9, 2024, 1:47:30 PM	https://photos.redhat-bootlegs.net/share/O18KqwAtaFS9vcFs1K9Gg2iROktJgdNxX9S-ggaAXpKH5gWEsmr2Fx9RMgDkzOeKcp8	Albert Cummings @ The Collective Encore 11/8/24
Nov 10, 2024, 12:50:12 AM	https://photos.redhat-bootlegs.net/share/DNRxBFVv4wKfs-pMhf6f432w1NNeTsKXmn6APC2WySvMRLRFuuD91M5mEclMXgAj3fo	Augustus Tritsch @ The Kennedy Center  11/9/24
