Timestamp	Item Type	Item ID	Title	Operation	Old Description	New Description
2026-04-03T00:19:32.094960	video	fDYae8o4GVI	Southern Avenue LIVE - Dr. Feelgood (bootleg)	search_replace	Aretha Franklin cover from Ram's Head Live on Stage (MD) on 03/21/25	Aretha Franklin cover from Rams Head Live on Stage (MD) on 03/21/25
2026-04-03T00:19:33.218227	video	nlhverw6q3E	Eric Gales LIVE - closing medley jam: Voodoo Child, Kashmir, Back in Black, Für Elise (bootleg)	search_replace	Jimi Hendrix, Jimmy Page, Angus Young, Ludwig von Beethoven, from Ram's Head Live on Stage (MD) on 06/19/25 @EricGalesBand	Jimi Hendrix, Jimmy Page, Angus Young, Ludwig von Beethoven, from Rams Head Live on Stage (MD) on 06/19/25 @EricGalesBand
2026-04-03T00:19:34.493652	video	qAbpITAI1r4	Eric Gales LIVE - Too Close to the Fire (bootleg)	search_replace	from Ram's Head Live on Stage (MD) on 06/19/25 @EricGalesBand	from Rams Head Live on Stage (MD) on 06/19/25 @EricGalesBand
2026-04-03T00:19:35.330675	video	tIuJr-iXeo4	Eric Gales LIVE - Instrumental Jam (bootleg)	search_replace	from Ram's Head Live on Stage (MD) on 06/19/25 @EricGalesBand	from Rams Head Live on Stage (MD) on 06/19/25 @EricGalesBand
2026-04-03T00:19:36.086210	video	QCxIIJGiV6U	Eric Gales LIVE - You Don't Know the Blues (bootleg)	search_replace	from Ram's Head Live on Stage (MD) on 06/19/25 @EricGalesBand	from Rams Head Live on Stage (MD) on 06/19/25 @EricGalesBand
2026-04-03T00:19:37.122082	video	I64JXBXkxAM	North Mississippi All-Stars LIVE - Don't Let the Devil Ride (bootleg)	search_replace	Rev. Otis Mays cover from Ram's Head Live on Stage (MD) on 07/11/25	Rev. Otis Mays cover from Rams Head Live on Stage (MD) on 07/11/25
2026-04-03T00:19:38.169265	video	FQH_iGdeDAY	North Mississippi All-Stars LIVE - Lord Don't Move that Mountain (bootleg)	search_replace	Inez Andrews cover from Ram's Head Live on Stage (MD) on 07/11/25	Inez Andrews cover from Rams Head Live on Stage (MD) on 07/11/25
2026-04-03T00:19:39.249825	video	KKW-5owRspU	North Mississippi All-Stars LIVE - Preachin' Blues (Up Jumped the Devil) (bootleg)	search_replace	Robert Johson cover from Ram's Head Live on Stage (MD) on 07/11/25	Robert Johson cover from Rams Head Live on Stage (MD) on 07/11/25
2026-04-03T00:19:39.956185	video	fS-TwFWmEn0	Jax Hollow LIVE - Lay Me Down Easy (bootleg)	search_replace	from Ram's Head Live on Stage (MD) on 07/17/2025	from Rams Head Live on Stage (MD) on 07/17/2025
2026-04-03T00:19:40.910845	video	94jkLdZkVPo	Jax Hollow LIVE - Wanted Woman (bootleg)	search_replace	from Ram's Head Live on Stage (MD) on 07/17/2025	from Rams Head Live on Stage (MD) on 07/17/2025
2026-04-03T00:19:42.050762	video	KzrOif5bVEI	Jax Hollow LIVE - Come Up Kid (bootleg)	search_replace	from Ram's Head Live on Stage (MD) on 07/17/2025	from Rams Head Live on Stage (MD) on 07/17/2025
2026-04-03T00:19:42.670956	video	y0662BqCcXU	Jax Hollow LIVE - Changing Suits (bootleg)	search_replace	from Ram's Head Live on Stage (MD) on 07/17/2025	from Rams Head Live on Stage (MD) on 07/17/2025
2026-04-03T00:19:43.409692	video	w0USqJBeSCw	Jax Hollow LIVE - Stone Cold Sober (bootleg)	search_replace	from Ram's Head Live on Stage (MD) on 07/17/2025	from Rams Head Live on Stage (MD) on 07/17/2025
