link_key	caption	gp_thumb
AF1QipMeYCKGb-Fn5H3ocF44ELflVWGorLgAan61LHOD	King Solomon Hicks - opening for Jimmy Vaughan at State Theatre, Falls Church	https://lh3.googleusercontent.com/pw/AP1GczPSwnK4UdVWzoKFdRMOqsCjzjsfvDR895iAoCnBi3JpYKekAT2LLahYzHYqwE2_LWJ6d2lp7B1vGMpBvAi7aLvQpkRiiE2VrAIIPdaCFYLoWCBivJ0
AF1QipMg5KbvhUdpUwLnwO3_3hnK0o7NEC6RM8W8jYLG	Ori Naftaly of (tagged) and his youngest fan. Ram's Head Live on Stage 3/21/25	https://lh3.googleusercontent.com/pw/AP1GczO5hyYbepa4qzVKf8UD7q6f4NRqiU-kNOVjPIAzU9WX5X_75OAKQNpnA_dMb6gHLwugoEhbSp-B3qRIW2yeU5I-qy0wvpbSazpH_RTwPNWybB-UmJk
AF1QipMiUrA-I7o8_Fw4HUdcRH8t613Au1giEZIC-Fc0	Yasmin Williams @ Birchmere 2/7/25 / fresh from her NPR Tiny Desk taping	https://lh3.googleusercontent.com/pw/AP1GczMrBXHlwSNCQ5Af9kfttMh2MCaajrgo5cq3VjNrK_r3ymEDbkWHDRv2DPYRiQWSb0bBVKEEorYoqxdqnhvmDfSmpWxaBjflG40d5V0RD7Hf1CvRa5s
AF1QipMjDkGL5VWY7Z-yi2UNwwOdBBdh2kQHU7u-Kh0z	Ally Venable at Rams Head On Stage 6/28/23	https://lh3.googleusercontent.com/pw/AP1GczMz1vRXalhkVHp5EfJ2rL3lVvn6fCu9GHdQUJVjIR5NfknYKFWIFc8ghA-AvvOUfXhcpP8FiG-wK3qEFanxoYFWw2Bz-l7ssvW21OxEBdlUMBX1R5s
AF1QipMm2ZueNI2o0LLMJYsUEZfTlUuAQanesuKlOcph	Ana Popovic @ Pearl Street Warehose 2022-12-14	https://lh3.googleusercontent.com/pw/AP1GczOnIZ6FImGaFxF--UXTxbNcwWLv1ZSZXWpHO9wfD5yl5grl1NXhkNuUK2XuwJ7k3O4eezJArOOcFHRo_Nh0JFhgrXQell_Bx9k_0j7_1EtLRKSZ2PE
AF1QipMpS6v7mxImoY-1e64m7ffplgbU-3A6qxJVY1ku	Danielle Nicole @ Hamilton Live 4/12/24	https://lh3.googleusercontent.com/pw/AP1GczN4NDVxREx37r98HELSEuCEsPOHVxqzJp-yv3dMsGT7DM60aw5ST71D_JK8wq79YzEEPR-ciJcuh71rKa98C970NgoddrplfkAO16l244rcPymdZhY
AF1QipMrNix4XAaOwL2DdmhvsdeIjISSOHhw5aezahSL	Jake Xerxes Fussell @ Songbyrd Music House 10/13/24	https://lh3.googleusercontent.com/pw/AP1GczMG9mBSqaVm2tdWvOk4GPBWeYe_oXpFsnq9W5Odc_J8wO9Lw8tWvukX5tuRNVhpmedDuHqaLc-rB_lW5pBt1s19CaRoPelQ3-ckhOBEa57vjzJbId8
AF1QipMry9xrJJswLfoqueYuWwF_5V4lLdbtcSMMxxb6	ZZ Ward (again) @ Birchmere 3/21/26	https://lh3.googleusercontent.com/pw/AP1GczPM2L8DMbaWdcVES0Umz1Zk3eubPdHJa4aR6it2SW6l52LOVviUUMPmFKWXaq6WxlvJw5vzR-2xQT0Kki4BlJGgvbVaFcDKkQ9X8XGZC6WobHFoaO8
AF1QipMu85ukiIxQ4lFyTZFB2CHZ53nUM5hmmtBB9_YQ2M6q8exi1Awy0ztJkU4rZoVSzA		https://lh3.googleusercontent.com/pw/AP1GczMNnA-0XCsI9saVNvpeQ-kPHrinmkqDpVoshDQFOgwKzKfUhIkGD8ohp3mp61Dsg_fM1q4VCMFuoYcDYweE3RY7-7aBjYaa3RyV1ZKKYQpiqacQPTo
AF1QipMubp2hjJ7gcdHpi70XwNm50E4JrkywBFZeJ1ig	Tierinii Jackson of Southern Avenue (voice) - Ram's Head Live on Stage 3/21/25	https://lh3.googleusercontent.com/pw/AP1GczOTJCQLX_tSgAHgcpgVZvLFJ5jVE7IvaCxuBqGeqj5-XiEk2BV0r7XBFeIcUbmK-grJDUcfV-Eja-d4CTNh8h5HudNLNykB__SujGzbnRAzpCEJA2c
AF1QipMv4beunvUyfyM-g3B8p8MIelZv8418cZ14xLlQ	Albert Castiglia @ JVs 12/22/24	https://lh3.googleusercontent.com/pw/AP1GczNEP9qSI2xvJsFYX-wRWe2PG7CjTL4QeVjFLjLZtyNZhCkD1VY2joZ87GUwyJFnY55J10oEzrPjWHBo65j0H2UroS1ZosfGJpl2bzXNGidSlKoCp9w
AF1QipMvT4D2bRXPkMyBZfn5KXS_00xKL4zlnZwDIYDv	Artur Menezes @ Hamilton Live DC 2/20/24 supporting Eric Gales	https://lh3.googleusercontent.com/pw/AP1GczOX10OAjsxRN47yV7m-bt-_5k1xyTAmw0XNU1tBZURyMozyExwtNCKoSXzzwS_kcjosHmCTd7MlINbnSEEj0HkhBkaD08IfC7DdXprMCU5nPt6ZjZ4
AF1QipN0kmmwDnL6KerYTq5BYXZM-Dxyt5mfKsV0NF4dpn298AEhNKdnwyBCm2-jF0fubQ		https://lh3.googleusercontent.com/pw/AP1GczP_CEd-_rcnWFZ_TyvYjfuIBliYhxvyOtoihV6y_1fLt_jV6ZlNGb8NyCX7ex792QEbIvjqw3rzPffKXiI_jQKlphwOhSCOQLVJWnP47d77dSlJn8k
AF1QipN3MlSSZ4A-UXDkBpXnHE9OYgKza-ch6iX1cq44ijnlJCnfFE9YJuqVQAPPSeBD0A		https://lh3.googleusercontent.com/pw/AP1GczN9_8xJ75rVG9Mc3ii1Urwacxs5FsKWdgTNu4njf0ARyxML0qMpEyRlaKmxea3JKka8ajbPu9eDbkQmYC5MQ8Yt8Rb-HKWZnPt7J5GqotEoKnIpp4o
AF1QipN3_ZHz5tBGxWpNFfhTGlUWE8mZLzMVkm678ssB	Mike Zito @ Hub City Vinyl Live 2/27/25	https://lh3.googleusercontent.com/pw/AP1GczM2IWOjfvKZtZOjccWhdGSQ-9uTSug2ez3WIPj1BoHvVLoL2YdSiExPgYmCyLZRXEpgXRRqVOJHg2scxs9N49wQYuGZsu28F-vdBjN8Kv1NTN8H6Lg
AF1QipN8EZU803eHqZBNwFkvYlSGAqDGOgUgdYq0GMFN	Selwyn Birchwood (again) @ Collective Encore 2026-03-29	https://lh3.googleusercontent.com/pw/AP1GczOYg2rU9-c3ZPoOIfQ1Lteathm4Dx1CVSAB3KApQrGSJyDgnQe3GGKV32DLROE0BXx07uibR3fabCviOHbW5omgJnT3SBTK8jorEFMuY5I_f9bl0g8
AF1QipNAF3HKme3cOyAK__ZfeyhK0g7-UDriAgCWG3qx	Buffalo Nichols @ Jammin' Java (VA) 6/21/24	https://lh3.googleusercontent.com/pw/AP1GczNOloqN-YWKuOWqNCXIEWBfHTNzHSYbwMz24ilghF6Yz51Kfp0VKSI9XTP7a9SWTd56FZ7T_SOe8vz-RKkIw9CgPbjpiS4y7FQfTiH8Lm0ksGRVRcI
AF1QipNBJqblam1ov8JD35ED9S-TqSgKxg5Lul3LGxjn	Eric Johansen @ Jammin' Java 8/3/25	https://lh3.googleusercontent.com/pw/AP1GczPjpfiU8y3KDKGNkIu1-OKsXkngU7B1n6adogbdy2_BuwDi-uiJaoikpXk1mC17Z-hsgy4gcxr2TFjlihiWCkZYW_YH9H9g_HTsrP0ODZ0UjJiwJCY
AF1QipNDe1j7-yb8IRqT1_TiM-eaKqRpiCh6fEJNo4hQYJjm-FWWpkWFRz6onJGERA0F-g		https://lh3.googleusercontent.com/pw/AP1GczPkWcKglnM9W5yeITOG-y4eawDCjsrlavK2HsOBrio7LkpbaoqLWsnKcBoXRPTO0a9q2T4TVWP80Q6hlBfzYpj_GgS5rS0G-2IeYTC2sAX1N0jZhT8
AF1QipNDowZBTXmzQGxHlSp_x0eag71Tu1ZtTbx7eSDX	Judith Hill @ Fillmore Silver Spring 4/13/24	https://lh3.googleusercontent.com/pw/AP1GczM0T5PFUJTnQHEkCm-QpCDQ8NQXjWwExNKEiAdmPTswhmRUK_LOlkvnffd46_iIaihQjCwzFo5Sy0pOiMFN_DDPEB1rMKnfTzCUCC822QJS7zvdhEU
AF1QipNFUDXw5Va_y5UrBV_8DtkPCAxN9RgJSqZvy9Fn	Vanessa Collier @ Collective Encore 4/19/24 - her long-time birthday venue when it was called the Soundry	https://lh3.googleusercontent.com/pw/AP1GczMVU1Wz4RWu9llvlXgQv-t1iDN4RfAMtz4yqtncmwIZ5hjJk75Bkxe-OZ1Pr49dgqbNna8qePFvuXUTniblmxZvosjopSMzpKIApna12Lt1I3LSFn4
AF1QipNIPwuZl2fAvQIJHjhP7dq8-IJyByX8opYBLDcj	Judith Hill (again) @ Hamilton Live 10/8/25	https://lh3.googleusercontent.com/pw/AP1GczPM68IGwOq-PpVr08xCY8mw2CM-RacHmu4D7ro90uZX1-VtIptOV00YsYqKVICP7UEqRA8zTc4U_72izAm194zYO1i-w3uGCcb_3Kbj4lGjajbJWNc
AF1QipNJJEsskMiktUSqkJQGGGAhAw9aBLkaepim5Xng	The Lone Bellow (again) @ Union Stage DC 11/14/25	https://lh3.googleusercontent.com/pw/AP1GczNVWxCTEvgvllIXP81a8KVdFa1llvx8vSVVkVKcJ2FsOhanGITJvF1SZ5QHWkgXUDPB88xjSLtsthCj9boEM_sI-TbFaZTAfBlImWA1YCJAi7BHmOU
AF1QipNJs-TrAIl_v4dGfJX5Z23mmGkJ2dpInetPhDFdQ98aKRVp9gUCbE40khJYl6_PMg		https://lh3.googleusercontent.com/pw/AP1GczNgpXQ_7UDwIyT1LIzDvikAlxYtKTDoYzuJFEhBnUeynayT9GUUGyQK6u35kAgL4we7FlAB2QOA2TQdE7y9O9h0OMw1zZGHZ-ydoWul7GDnjhPXgxE
AF1QipNKYfOTXd4oGVHoS3aPbWjIjzSlVwzozwGWyO8x	Shemekia Copeland (singer) @ Rams Head 10/19/24	https://lh3.googleusercontent.com/pw/AP1GczOvNOzwf_YJQqpGo7spyHBrtxQPWs-23KWGzkvUowQzI_Y6mH2cGr7VKpqV3X4CaS_fJGZV-0ZgbeIKR1tqD-ojb3U09lMklUE-jRnsY6oc9IHTBNg
