Date	Day	Time	Event/Venue	Venue	City	State
Aug 16, 2026	Sunday		Everyday Is Saturday CD Release Party	House Of Berry Productions Listening Room	White Springs	FL
Sep 5, 2026	Saturday		Historic Northwest BBQ Brews and Blues	Sunset Lounge	West Palm Beach	FL
