Year	Date	Headliner	Venue	Act to Find	Search URL	Setlist URL
2023	2023-10-15	LL Cool J	Capital One Arena	Queen Latifah	https://www.setlist.fm/search?query=artist%3A%28queen+latifah%29+date%3A%5B2023-10-15%5D	
2023	2023-10-15	LL Cool J	Capital One Arena	Bone Thugs-n-Harmony	https://www.setlist.fm/search?query=artist%3A%28bone+thugs-n-harmony%29+date%3A%5B2023-10-15%5D	
2023	2023-10-15	LL Cool J	Capital One Arena	Z-Trip	https://www.setlist.fm/search?query=artist%3A%28z-trip%29+date%3A%5B2023-10-15%5D	
2023	2023-10-22	The Secret Sisters	The Birchmere	Amy Stroup	https://www.setlist.fm/search?query=artist%3A%28amy+stroup%29+date%3A%5B2023-10-22%5D	
2023	2023-11-13	Shakey Graves	9:30 Club	Sadurn	https://www.setlist.fm/search?query=artist%3A%28sadurn%29+date%3A%5B2023-11-13%5D	
2023	2023-11-25	Liz Phair	The Anthem	Blondshell	https://www.setlist.fm/search?query=artist%3A%28blondshell%29+date%3A%5B2023-11-25%5D	
2023	2023-11-26	The Lone Bellow	Wolf Trap Farm Park (The Barns)	Stephen Wilson Jr	https://www.setlist.fm/search?query=artist%3A%28stephen+wilson+jr%29+date%3A%5B2023-11-26%5D	
2023	2023-12-03	Samantha Fish & Jesse Dayton	The Fillmore Silver Spring	Jon Spencer	https://www.setlist.fm/search?query=artist%3A%28jon+spencer%29+date%3A%5B2023-12-03%5D	
2023	2023-12-03	Samantha Fish & Jesse Dayton	The Fillmore Silver Spring	Eric Johanson	https://www.setlist.fm/search?query=artist%3A%28eric+johanson%29+date%3A%5B2023-12-03%5D	
2023	2023-12-15	Sadurn	The Atlantis	Brassie	https://www.setlist.fm/search?query=artist%3A%28brassie%29+date%3A%5B2023-12-15%5D	
2023	2023-12-15	Sadurn	The Atlantis	Glom	https://www.setlist.fm/search?query=artist%3A%28glom%29+date%3A%5B2023-12-15%5D	
