Show Date	Artist	Supporting Acts	Venue	Setlist.fm URL	Playlist URL	Photo URL	Match Type	YT Title	Notes / Memories
2021-07-11	Oliver Wood		The Patio Stage at Strathmore, North Bethesda, MD, USA	https://www.setlist.fm/setlist/oliver-wood/2021/the-patio-stage-at-strathmore-north-bethesda-md-2ba73086.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJ8_L4MEMHAg1vtaHcliBxw	-	Playlist (assembled)	Oliver Wood LIVE - Postcards from Hell  (bootleg) | Oliver Wood LIVE - One More Day (bootleg)	First live music since shows were cancelled in March 2020. Widely spaced table seating in an outdoor tent only.
2021-09-23	The Avett Brothers		Wolf Trap Farm Park (Filene Center), Vienna, VA, USA	https://www.setlist.fm/setlist/the-avett-brothers/2021/wolf-trap-farm-park-filene-center-vienna-va-638dbec7.html		-	No match		Lawn seats — no videos.
2021-09-24	Kingsley Flood		Pearl Street Warehouse, Washington, DC, USA	https://www.setlist.fm/setlist/kingsley-flood/2021/pearl-street-warehouse-washington-dc-3ba730dc.html		-	No match		Still photos only — no video footage.
2021-10-16	Larkin Poe		The Recher, Towson, MD, USA	https://www.setlist.fm/setlist/larkin-poe/2021/the-recher-towson-md-438d1363.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK28bYHf1SaivuMW6_vbtb4	https://photos.redhat-bootlegs.net/share/dNiprahYJTh07RQVRlvQeI6cRu9cVpICWFvUVQdkScKdXodR72fz9k6Mjq9DWH-zSmk	Playlist (includes fan videos)		
2021-10-22	Rival Sons		9:30 Club, Washington, DC, USA	https://www.setlist.fm/setlist/rival-sons/2021/930-club-washington-dc-138d6965.html		-	No match		
2021-11-18	Christone 'Kingfish' Ingram	Ally Venable Band	Sixth & I Historic Synagogue, Washington, DC, USA	MULTI:2021-11-18		https://photos.redhat-bootlegs.net/share/OeMjBioil-DVm7F6I1hr3s8paLldsyyJJWGMy2rcqv7d6DPJyk_a9a49Vy18n4rWEJ0	No match	-	-
