# related_acts.tsv — hand-maintained kinship edges for the artist-graph (#174).
#
# One row per membership/kinship relation between two tracked acts that the
# Last.fm similarity data can't see (fronts, member-of, successor-of, sibling…).
# Relation is freeform display text for the tooltip. Rows where either endpoint
# doesn't resolve to a tracked node are skipped silently, so a row may safely
# predate an artist's tracking. Names go through the page's normalization
# (aliases apply) — alias-fused pairs (e.g. Daniel Donato's Cosmic Country)
# need no row here; they're already one node.
#
# Via-bill kinship (TajMo, SatchVai, etc.) is NOT duplicated here — the page
# derives those edges from artists.tsv's Via column, which stays authoritative
# per the #103 protocol.
Artist A	Artist B	Relation
Oliver Wood	The Wood Brothers	fronts
Kim Wilson	The Fabulous Thunderbirds	fronts
Warren Haynes	Gov't Mule	fronts
Ivan Neville	Dumpstaphunk	fronts
Joey Landreth	The Bros. Landreth	member-of
Haggis X-1	Enter the Haggis	successor-of
House of Hamill	Enter the Haggis	successor-of
Leyla McCalla	Sabine McCalla	sibling
